sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,temp_c,diag_stat
310,6.200055598999995,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635936074338734,5.646754518874135,5.666109249161213,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09781300823647,35.16657667451846,-0.6199587046000037,24.9,0xFFFF
311,6.220055500000001,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635935552176554,5.6467544087121615,5.6661098783352015,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09781674013374,35.16657294262119,-0.6219586965000022,24.9,0xFFFF
312,6.240055308000024,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6359350419659195,5.646754301071561,5.66611049310826,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09782038661305,35.16656929614185,-0.6239586774000034,24.9,0xFFFF
313,6.260055709000028,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635934533595134,5.646754193819048,5.666111105664367,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0978240199428,35.166565662812104,-0.6259587193000019,24.9,0xFFFF
314,6.280055332000018,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635934046553339,5.646754091066306,5.666111692520293,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09782750083394,35.16656218192095,-0.627958679800003,24.9,0xFFFF
315,6.30005515900001,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635933565961471,5.646753989674259,5.666112271604409,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0978309356273,35.16655874712763,-0.6299586643000002,24.9,0xFFFF
316,6.320055134000029,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635933093459385,5.6467538899888785,5.666112840940791,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09783431260274,35.16655537015217,-0.6319586598999994,24.9,0xFFFF
317,6.340057312999988,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635932598142901,5.646753785490199,5.666113437767101,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0978378526327,35.166551830122216,-0.6339588908,24.9,0xFFFF
318,6.360058101999982,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635932129763075,5.646753686674378,5.666114002136337,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09784120014606,35.16654848260886,-0.635958997500001,24.9,0xFFFF
319,6.380056799999977,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6359317065392425,5.646753597385231,5.666114512095313,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09784422492913,35.16654545782578,-0.6379588431999995,24.9,0xFFFF
