elapsed_s,roll_deg,pitch_deg,yaw_deg,quat_i,quat_j,quat_k,quat_real,mag_x_uT,mag_y_uT,mag_z_uT
2.456,0.249,-0.429,-1.479,0.13403,0.08862,-0.01324,0.98694,5.625,4.9375,-32.75
2.552,0.249,-0.429,-1.479,0.13403,0.08862,-0.01324,0.98694,5.3125,5.0,-30.25
2.640,0.249,-0.429,-1.479,0.13403,0.08862,-0.01324,0.98694,4.9375,4.1875,-32.3125
2.731,0.257,-0.429,-1.479,0.13409,0.08862,-0.01324,0.98694,5.3125,6.4375,-29.8125
2.826,0.256,-0.428,-1.472,0.13409,0.08862,-0.01318,0.98694,5.25,4.5,-33.5625
2.919,0.262,-0.428,-1.471,0.13416,0.08862,-0.01318,0.98688,4.9375,4.9375,-33.5625
3.011,0.262,-0.428,-1.471,0.13416,0.08862,-0.01318,0.98688,5.625,6.75,-32.25
3.101,0.269,-0.428,-1.471,0.13422,0.08862,-0.01318,0.98688,5.625,5.3125,-32.3125
3.211,0.269,-0.428,-1.471,0.13422,0.08862,-0.01318,0.98688,5.625,6.0625,-33.125
3.306,0.277,-0.428,-1.477,0.13428,0.08862,-0.01324,0.98688,5.25,5.6875,-32.25
3.436,0.277,-0.428,-1.477,0.13428,0.08862,-0.01324,0.98688,4.5625,4.1875,-32.3125
3.530,0.276,-0.428,-1.470,0.13428,0.08862,-0.01318,0.98688,5.6875,5.4375,-28.1875
3.623,0.277,-0.421,-1.478,0.13428,0.08868,-0.01324,0.98688,6.0,5.6875,-31.5
3.714,0.269,-0.421,-1.471,0.13422,0.08868,-0.01318,0.98688,4.9375,7.125,-31.875
3.807,0.264,-0.430,-1.485,0.13416,0.08862,-0.01331,0.98688,4.5625,7.125,-32.25
3.901,0.272,-0.431,-1.498,0.13422,0.08862,-0.01343,0.98688,4.9375,5.3125,-33.125
3.999,0.258,-0.432,-1.499,0.13409,0.08862,-0.01343,0.98688,5.3125,5.375,-30.625
4.088,0.266,-0.432,-1.506,0.13416,0.08862,-0.01349,0.98688,4.5625,5.3125,-33.125
4.181,0.273,-0.433,-1.512,0.13422,0.08862,-0.01355,0.98688,5.6875,5.375,-29.8125
4.273,0.280,-0.439,-1.504,0.13428,0.08856,-0.01349,0.98688,4.9375,4.5625,-32.3125
4.364,0.273,-0.447,-1.510,0.13422,0.08850,-0.01355,0.98688,4.9375,5.6875,-32.25
4.455,0.273,-0.447,-1.510,0.13422,0.08850,-0.01355,0.98688,4.9375,4.9375,-31.5
4.548,0.273,-0.447,-1.510,0.13422,0.08850,-0.01355,0.98688,4.9375,6.0625,-32.75
4.637,0.273,-0.439,-1.504,0.13422,0.08856,-0.01349,0.98688,5.25,7.5,-33.0625
4.726,0.273,-0.439,-1.504,0.13422,0.08856,-0.01349,0.98688,6.0,5.375,-29.4375
4.818,0.266,-0.432,-1.506,0.13416,0.08862,-0.01349,0.98688,5.3125,4.5625,-32.75
4.908,0.260,-0.435,-1.520,0.13409,0.08862,-0.01361,0.98688,5.625,6.0,-33.5
4.997,0.274,-0.441,-1.518,0.13422,0.08856,-0.01361,0.98688,4.25,5.75,-31.5
5.086,0.275,-0.449,-1.524,0.13422,0.08850,-0.01367,0.98688,4.875,6.0625,-33.5
5.177,0.276,-0.451,-1.538,0.13422,0.08850,-0.01379,0.98688,5.6875,3.875,-30.6875
5.268,0.283,-0.450,-1.537,0.13428,0.08850,-0.01379,0.98688,5.25,6.0625,-32.75
5.358,0.285,-0.453,-1.558,0.13428,0.08850,-0.01398,0.98688,5.25,4.875,-33.5625
5.450,0.287,-0.448,-1.573,0.13428,0.08856,-0.01410,0.98688,5.3125,4.1875,-32.375
5.547,0.288,-0.442,-1.581,0.13428,0.08862,-0.01416,0.98688,5.3125,5.75,-29.8125
5.635,0.273,-0.442,-1.582,0.13416,0.08862,-0.01416,0.98688,4.5625,5.6875,-32.75
5.725,0.287,-0.441,-1.574,0.13428,0.08862,-0.01410,0.98688,6.0,5.75,-30.625
5.816,0.303,-0.443,-1.593,0.13440,0.08862,-0.01428,0.98688,6.0,5.625,-33.5
5.906,0.303,-0.457,-1.591,0.13440,0.08850,-0.01428,0.98688,4.5625,6.0625,-33.125
5.999,0.304,-0.466,-1.604,0.13440,0.08844,-0.01440,0.98688,5.625,4.5,-33.5625
6.096,0.305,-0.474,-1.610,0.13440,0.08838,-0.01447,0.98688,5.625,4.5625,-31.9375
6.194,0.313,-0.474,-1.617,0.13446,0.08838,-0.01453,0.98688,5.0,4.625,-29.875
6.284,0.306,-0.482,-1.616,0.13440,0.08832,-0.01453,0.98688,5.25,5.25,-34.0
6.376,0.308,-0.484,-1.637,0.13440,0.08832,-0.01471,0.98688,5.3125,5.0,-29.4375
6.470,0.324,-0.493,-1.656,0.13452,0.08826,-0.01489,0.98688,6.0,5.3125,-33.125
6.564,0.333,-0.488,-1.670,0.13458,0.08832,-0.01501,0.98688,5.25,6.375,-33.5
6.657,-0.032,-0.807,-2.851,0.13037,0.08698,-0.02527,0.98730,5.25,7.125,-32.3125
6.751,-1.163,0.689,-7.098,0.11761,0.10522,-0.05908,0.98572,3.5,8.3125,-31.4375
